"","Tracking.ID","Duration","Mean.Intensity","Var.Intensity","Track.Length","Dry.Mass","Mean.Speed"
"803",885,16,163.839542388916,802.683405163743,187.672256469727,214.26370716095,0.00695141699785988
"806",889,14,83.7981251307896,333.441448283316,148.264129638672,371.218962533133,0.00493620539110942
"812",895,13,113.986527076134,1329.90876841982,92.1918869018555,404.941629263071,0.00426744691018636
"813",896,12,79.7120100657145,22.9417496090274,159.183212280273,248.173606872559,0.00803962993350896
"822",906,12,76.7675024668376,139.42785430313,108.971633911133,586.545811971029,0.00460773611716418
"825",909,18,92.4376758999295,418.729572998548,106.723655700684,195.526708390978,0.0034877071122858
"826",910,18,73.4758559332954,194.150645130001,97.0936660766602,536.550411648221,0.00317341424969902
"829",913,16,102.164510250092,22.4801177269677,178.97053527832,253.095325469971,0.00634594469641645
"832",916,17,126.754758947036,539.56338180907,151.286819458008,252.623125861673,0.00525307126008557
"837",921,13,126.88857797476,356.908720027919,56.0568161010742,180.977191044734,0.00240566821594257
"842",926,16,264.426445960999,651.334648593387,154.022613525391,311.224899291992,0.00570436782048395
